day,num_topics,doc_count,num_unassigned,npmi,td
2023-01-01,13,352,37,-0.3002293471578971,0.9692307692307692
2023-01-02,18,632,27,-0.3162297477692326,0.9944444444444445
2023-01-03,32,772,95,-0.3501980149581913,0.98125
2023-01-04,29,783,68,-0.30256698838828233,0.9862068965517241
2023-01-05,25,814,97,-0.33587111808597486,0.996
2023-01-06,21,767,29,-0.2794239648163273,0.9761904761904762
2023-01-07,12,467,36,-0.3030419944059804,0.9583333333333334
2023-01-08,6,437,3,-0.18194992876849472,0.9666666666666667
2023-01-09,32,825,95,-0.32090942724187166,0.975
2023-01-10,25,786,77,-0.30274826073467914,0.992
2023-01-11,19,792,26,-0.31288640474641705,0.9842105263157894
2023-01-12,32,805,50,-0.34418892054659794,0.98125
2023-01-13,22,785,64,-0.29220014165760094,0.9545454545454546
2023-01-14,18,445,23,-0.3365905916002094,0.9833333333333333
2023-01-15,16,344,33,-0.3089659643850057,1.0
2023-01-16,22,774,67,-0.2914612436196524,1.0
2023-01-17,28,790,36,-0.35406307639334544,0.9857142857142858
2023-01-18,20,749,27,-0.36891277021803626,0.98
2023-01-19,29,777,75,-0.3478364373572536,0.9827586206896551
2023-01-20,20,700,35,-0.35328530930729485,0.99
2023-01-21,17,432,34,-0.3355898788372067,0.9941176470588236
2023-01-22,5,315,6,-0.45589407386930797,1.0
2023-01-23,25,747,53,-0.31793485325527626,0.984
2023-01-24,28,745,83,-0.32136728256511315,0.975
2023-01-25,22,736,51,-0.3796550760311158,0.9772727272727273
2023-01-26,29,752,87,-0.2879274571380964,0.9896551724137931
2023-01-27,20,720,31,-0.36461737510107556,0.995
2023-01-28,17,467,42,-0.29684483674835027,0.9764705882352941
2023-01-29,13,376,38,-0.32843313201717916,0.9769230769230769
2023-01-30,26,736,79,-0.34820959733719536,0.9884615384615385
2023-01-31,28,821,59,-0.3422532414063656,0.9857142857142858
2023-02-01,28,900,80,-0.30802411723413703,0.9785714285714285
2023-02-02,36,865,101,-0.2995272547375551,0.9861111111111112
2023-02-03,30,822,107,-0.299124174730589,0.9733333333333334
2023-02-04,16,474,45,-0.34333093276964877,1.0
2023-02-05,15,392,31,-0.31874253991895035,0.9866666666666667
2023-02-06,23,835,36,-0.24474551210515194,0.9695652173913043
2023-02-07,34,867,56,,0.9852941176470589
2023-02-08,34,865,89,-0.3429921003516479,0.9882352941176471
2023-02-09,32,885,96,-0.31346550462505723,0.99375
2023-02-10,30,825,36,-0.30439193556511945,0.9833333333333333
2023-02-11,17,503,40,-0.38203691425945757,1.0
2023-02-12,17,377,26,-0.3319986732877901,0.9941176470588236
2023-02-13,25,809,82,-0.2904731753539641,0.992
2023-02-14,29,865,48,-0.33662719825254095,0.9827586206896551
2023-02-15,30,840,115,-0.33059736233984105,0.9733333333333334
2023-02-16,22,812,39,-0.2938355888962818,0.9818181818181818
2023-02-17,24,862,40,-0.333892176107532,0.9625
2023-02-18,21,613,49,-0.3262597113645019,0.9857142857142858
2023-02-19,17,558,38,-0.35870386633717183,0.9647058823529412
2023-02-20,19,727,64,-0.35364815913347697,0.9736842105263158
2023-02-21,16,685,21,-0.2828206077834603,0.96875
2023-02-22,29,759,115,-0.32494304350295455,0.9827586206896551
2023-02-23,31,821,34,-0.32104393990844077,0.9967741935483871
2023-02-24,31,829,82,,0.9903225806451613
2023-02-25,16,503,9,-0.2802095642130279,0.9875
2023-02-26,13,413,9,-0.28944420781315505,0.9615384615384616
2023-02-27,29,820,72,-0.23978339440509347,0.9758620689655172
2023-02-28,22,822,40,-0.3180453061526473,0.9954545454545455
2023-03-01,31,824,69,,0.9774193548387097
2023-03-02,33,824,59,-0.314659591188442,0.9848484848484849
2023-03-03,29,787,87,-0.3475858134615817,0.996551724137931
2023-03-04,6,480,0,-0.37563120709016423,1.0
2023-03-05,12,382,14,-0.25320514950420975,1.0
2023-03-06,25,759,83,-0.2872029212738506,0.984
2023-03-07,32,812,85,-0.3604355297236278,0.975
2023-03-08,28,832,63,-0.3179727518456459,0.9642857142857143
2023-03-09,17,794,38,-0.32200051075336994,1.0
2023-03-10,32,802,81,-0.3090227630820035,0.984375
2023-03-11,13,487,14,-0.37161724043547945,0.9923076923076923
2023-03-12,14,377,42,-0.34490301983334565,1.0
2023-03-13,39,841,66,-0.3113778520667761,0.9846153846153847
2023-03-14,33,837,61,-0.3317738384751025,0.9848484848484849
2023-03-15,26,863,55,-0.26172283384408856,0.9807692307692307
2023-03-16,23,790,87,-0.3305907425548745,0.9826086956521739
2023-03-17,32,834,76,-0.34662676427144534,0.990625
2023-03-18,16,471,21,-0.3732607430380328,0.975
2023-03-19,10,394,24,-0.24807950053518324,1.0
2023-03-20,17,834,21,-0.2665394907824475,0.9647058823529412
2023-03-21,30,853,48,-0.3073842315417895,0.9866666666666667
2023-03-22,33,863,85,-0.2741867798769802,0.9757575757575757
2023-03-23,30,840,110,-0.3452803512440225,0.9866666666666667
2023-03-24,31,880,79,-0.303056309095366,0.9838709677419355
2023-03-25,14,547,17,-0.29880429075030174,0.9785714285714285
2023-03-26,11,424,40,-0.1936555369953463,0.9727272727272728
2023-03-27,33,807,99,-0.29954695857974023,0.9878787878787879
2023-03-28,29,816,80,-0.34268188566163227,0.9827586206896551
2023-03-29,28,805,80,-0.37722659285631,0.9964285714285714
2023-03-30,22,820,21,-0.319641329472454,0.9863636363636363
2023-03-31,28,807,56,-0.33020708239097213,0.9892857142857143
2023-04-01,15,491,28,-0.3137529631799232,0.9866666666666667
2023-04-02,15,391,18,-0.32703341376190964,0.9933333333333333
2023-04-03,23,778,42,-0.319377797349418,0.9652173913043478
2023-04-04,33,786,72,-0.295645918610625,0.9818181818181818
2023-04-05,29,745,67,-0.32914216902396215,0.9586206896551724
2023-04-06,20,676,66,-0.3411403510770574,0.965
2023-04-07,20,569,68,-0.3217760044096333,0.995
2023-04-08,13,435,29,-0.38764178154903095,0.9615384615384616
2023-04-09,16,377,22,-0.18566635778793,0.99375
2023-04-10,18,720,36,-0.2915290983299282,0.9833333333333333
2023-04-11,22,741,78,-0.34122648730432525,0.9863636363636363
2023-04-12,25,719,34,-0.30042025699073854,0.988
2023-04-13,24,739,102,,0.9875
2023-04-14,26,698,56,-0.325378215452055,0.9730769230769231
2023-04-15,17,475,63,-0.2700849388034091,0.9882352941176471
2023-04-16,12,373,21,-0.323661571634667,0.975
2023-04-17,23,713,57,-0.1882621404831643,0.991304347826087
2023-04-18,32,740,55,-0.2811853063333185,0.990625
2023-04-19,27,763,86,-0.31933032905662523,0.9851851851851852
2023-04-20,22,760,87,-0.3185704942195598,0.9636363636363636
2023-04-21,22,568,47,-0.32182158280568174,0.9772727272727273
2023-04-22,16,436,73,-0.29261029721951315,1.0
2023-04-23,11,354,11,-0.3208910479548021,0.9636363636363636
2023-04-24,24,641,47,-0.2943790326205547,0.9791666666666666
2023-04-25,22,678,55,-0.2893154635532627,0.990909090909091
2023-04-26,15,542,27,-0.27331433575461267,0.98
2023-04-27,19,508,24,-0.3217573930232809,0.9947368421052631
2023-04-28,23,551,38,-0.2865320543313064,0.991304347826087
2023-04-29,17,360,39,-0.3112781903778425,0.9941176470588236
2023-04-30,8,276,17,-0.3622816027144059,1.0
